crypto_id,date,price,rsi,volatility_7d
ethereum,2024-04-12,3508.578498448644,16.28492237632851,0.03703821630584579
ethereum,2024-04-13,3245.5005926983195,15.827570871582793,0.048737682502669
ethereum,2024-04-14,3022.0057852476043,15.431084188580272,0.054027583105303034
ethereum,2024-04-15,3157.683765827796,16.793773291075297,0.05665182277306127
ethereum,2024-04-16,3101.190735674771,16.673303582428375,0.043929601242012874
ethereum,2024-04-17,3083.7060147660677,16.633532941085562,0.04247516272397153
ethereum,2024-04-18,2982.6157347098,16.390111834587103,0.040903701408832586
ethereum,2024-04-19,3064.911592229428,17.449238908664725,0.0451653683730086
ethereum,2024-04-20,3065.682561565907,17.45978763008098,0.03775571342486817
ethereum,2024-04-21,3152.1915066519477,18.7149445988139,0.02803307589142674
ethereum,2024-04-22,3147.13775429932,18.69705735841478,0.022309431526804407
ethereum,2024-04-23,3199.769589894069,19.559340045917963,0.02157554235438118
ethereum,2024-04-24,3218.9672686428075,19.893072439793272,0.021090865727576954
ethereum,2024-04-25,3138.814357009402,19.52877756273722,0.0187325069829847
ethereum,2024-04-26,3157.6193174815944,19.899394110290956,0.016512789752477615
ethereum,2024-04-27,3131.419219740052,19.762826273499755,0.01717225055059251
ethereum,2024-04-28,3259.2522227654413,22.555523096142394,0.02056343612648341
ethereum,2024-04-29,3259.503404256033,22.561226524088298,0.020483672359627888
ethereum,2024-04-30,3213.6890004948136,22.239512596652347,0.020897675086252614
ethereum,2024-05-01,3018.549635877818,20.87416332007423,0.03093774800891381
ethereum,2024-05-02,2976.0902075157046,20.578131512017052,0.03025727326682726
ethereum,2024-05-03,2988.5486490452654,20.932456519892895,0.030133778077907878
ethereum,2024-05-04,3102.1512923656555,24.251003651427993,0.03465728489183557
ethereum,2024-05-05,3115.0233215730136,24.636971695015106,0.029735399499150963
ethereum,2024-05-06,3136.57511039041,25.323063056578775,0.0300811538832239
ethereum,2024-05-07,3064.5913995603364,24.52012528828905,0.03070472223215211
ethereum,2024-05-08,3015.159769616685,23.958330652982383,0.0204625372593895
ethereum,2024-05-09,2975.72696606529,23.49586054595295,0.020352316361125822
ethereum,2024-05-10,3038.3447046668207,25.940595243805774,0.021850416084989305
ethereum,2024-05-11,2910.684500017475,24.23992206846171,0.021138042848913442
ethereum,2024-05-12,2908.9827849031903,24.217130217069084,0.0207238921389256
ethereum,2024-05-13,2931.3106669139133,25.210778651677245,0.020825808985463636
ethereum,2024-05-14,2948.303455265941,26.00594924647943,0.020548965739663125
ethereum,2024-05-15,2881.7959916152945,24.890510995327674,0.021244012501550173
